county,account_id,owner_name,mailing_address,parcel_address,city,zip,assessed_value,use_code,prop_type
Collin,R-0002-00A-0030-1,HCA HEALTH SERVICES OF TEXAS INC,"PO BOX 1504, NASHVILLE, TN 37202-1504",1630 COIT RD,PLANO,75075,2160000,MDO,Commercial
Collin,R-0003-00A-0010-1,LIBERTY VENTURE I HOLDINGS LLC,"1800 WAZEE ST STE 500, DENVER, CO 80202-2526",2300 W PLANO PKWY,PLANO,75075,55442177,OCCLR1-3,Commercial
Collin,R-0006-000-0010-1,TEXAS PARKS & RECREATION FOUNDATION,"2100 E CAMPBELL RD STE 100, RICHARDSON, TX 75081-2039",3555 PARK VISTA RD,RICHARDSON,75082,1143050,EXEMPT,Commercial
Collin,R-0007-001-00A0-1,SAHIBZADAH FRIDOON & ROYA,"4576 ETHRIDGE DR, PLANO, TX 75024-3964",701 18TH ST,PLANO,75074,937661,SC,Commercial
Collin,R-0007-001-00C0-1,WALIZADA ISLAM,"729 18TH ST, PLANO, TX 75074-5603",729 18TH ST,PLANO,75074,769370,SC,Commercial
Collin,R-0007-001-00B0-1,VDS EAT LLC,"508 TWILIGHT TRL STE 99, RICHARDSON, TX 75080-8102",1809 G AVE,PLANO,75074,5809850,MFU,Commercial
Collin,R-0008-001-0010-1,DOUGLAS CHARTERS INC,"2309 K AVE STE 100, PLANO, TX 75074-5966",2309 K AVE,PLANO,75074,751838,OMTLR1-3,Commercial
Collin,R-0010-005-0070-1,CHURCH OF THE LIVING GOD,"1201 G AVE, PLANO, TX 75074-6819",1201 G AVE,PLANO,75074,288543,EXEMPT,Commercial
Collin,R-0011-001-0010-1,EKVALL DON JOSEPH,"5668 RANCH LN, MADISONVILLE, TX 77864-7023",4040 W PARK BLVD,PLANO,75093,675000,VC,Commercial
Collin,R-0012-001-0010-1,700 PARKER LLC,"6248 TYNING CIR, FRISCO, TX 75035-7264",2701 W 15TH ST,PLANO,75075,788741,OMTLR1-3,Commercial
Collin,R-0014-004-0260-1,PLANO HOUSING AUTHORITY,"1111 H AVE STE A, PLANO, TX 75074-6842",1320 ARMSTRONG DR,PLANO,75074,150484,F1,Commercial
Collin,R-0014-004-0470-1,PLANO HOUSING AUTHORITY,"1111 H AVE STE A, PLANO, TX 75074-6842",1329 SYLVAN DR,PLANO,75074,153393,F1,Commercial
Collin,R-0022-00A-001R-1,PLANO ISD,"2700 W 15TH ST, PLANO, TX 75075-7524",3300 P AVE,PLANO,75074,8430570,EXEMPT,Commercial
Collin,R-0023-001-0010-1,REGAL NEX GEN REALTY LP,"5712 SETTLEMENT WAY, MCKINNEY, TX 75070-7006",3000 E PLANO PKWY,PLANO,75074,8668100,LI-STIB,Commercial
Collin,R-2214-00A-0050-1,QSR 30 LAND III LLC,"4515 LYNDON B JOHNSON FWY, DALLAS, TX 75244-5905",1706 W UNIVERSITY DR,MCKINNEY,75069,904501,FFR,Commercial
Collin,R-2214-00A-0060-1,LOJON PROPERTY 71 LLC,"2 LIBERTY SQ FL 9, BOSTON, MA 02109-4884",1708 W UNIVERSITY DR,MCKINNEY,75069,814997,FFR,Commercial
Collin,R-2214-00A-0070-1,R & H VENTURES,"PO BOX 2162, DENTON, TX 76202-2162",1714 W UNIVERSITY DR,MCKINNEY,75069,1432360,FFR,Commercial
Collin,R-2207-00M-0010-1,WESTDALE RUSTIC OAKS LTD,"2550 PACIFIC AVE STE 1600, DALLAS, TX 75226-1495",401 FLEMING ST,WYLIE,75098,14850000,MFU,Commercial
Collin,R-2208-00B-0060-1,SE GROUP INC,"121 REGENCY DR, WYLIE, TX 75098-7017",121 REGENCY DR,WYLIE,75098,752046,WHO-STIB,Commercial
Collin,R-2208-00B-0070-1,HAMEED WALA F,"101 REGENCY DR, WYLIE, TX 75098-7017",123 REGENCY DR,WYLIE,75098,213825,C1,Commercial
Collin,R-2208-00B-0080-1,JLM REALTY GROUP LLC,"112 INDUSTRIAL DR, FORNEY, TX 75126-8571",2809 CAPITAL ST,WYLIE,75098,866510,WHO-MTIB,Commercial
Collin,R-2208-00B-0090-1,CHIPMAKER PROPERTIES LLC,"2434 FM 2649, LONE OAK, TX 75453-6127",2807 CAPITAL ST,WYLIE,75098,1141508,WHO-STIB,Commercial
