county,account_id,owner_name,mailing_address,parcel_address,city,zip,assessed_value,use_code,prop_type
Tarrant,51,FORT WORTH CITY OF,"200 TEXAS ST, FT WORTH TX, 76102",117 E BELKNAP ST,FORT WORTH,,450000,C1C,Commercial
Tarrant,78,FORT WORTH CITY OF,"200 TEXAS ST, FT WORTH TX, 76102",111 E BELKNAP ST,FORT WORTH,,450000,C1C,Commercial
Tarrant,86,FORT WORTH CITY OF,"200 TEXAS ST, FT WORTH TX, 76102",101 E BELKNAP ST,FORT WORTH,,675000,C1C,Commercial
Tarrant,94,FORT WORTH CITY OF,"200 TEXAS ST, FT WORTH TX, 76102",115 E BELKNAP ST,FORT WORTH,,225000,C1C,Commercial
Tarrant,108,FORT WORTH CITY OF,"200 TEXAS ST, FT WORTH TX, 76102",100 W BELKNAP ST,FORT WORTH,,1080000,C1C,Commercial
Tarrant,116,TARRANT COUNTY OF,"100 E WEATHERFORD ST, FORT WORTH TX, 76102",110 W BELKNAP ST,FORT WORTH,,900000,F1,Commercial
Tarrant,124,TARRANT COUNTY OF,"100 E WEATHERFORD ST, FORT WORTH TX, 76102",114 W BELKNAP ST,FORT WORTH,,270000,F1,Commercial
Tarrant,132,CRIMINAL COURTS BUILDING,UNKNOWN,200 W BELKNAP ST,FORT WORTH,,8419461,F1,Commercial
Tarrant,140,LOFTIN JERRY J,"109 S RANCH HOUSE RD STE 103, WILLOW PARK TX, 76008",107  HOUSTON ST,FORT WORTH,,631090,C2C,Commercial
Tarrant,167,101 N HOUSTON FT WORTH LLC,"2952 N STEMMONS FWY, DALLAS TX, 75247",101 N HOUSTON ST,FORT WORTH,,2950453,F1,Commercial
Tarrant,256,PESCADOR PARTNERS LTD,"6467 SOUTHWEST BLVD, BENBROOK TX, 76132",100  MAIN ST,FORT WORTH,,2461000,F1,Commercial
Tarrant,299,PESCADOR PARTNERS LTD,"6467 SOUTHWEST BLVD, BENBROOK TX, 76132",117 W WEATHERFORD ST,FORT WORTH,,574917,F1,Commercial
Tarrant,310,LUSKEY BROTHERS INVESTMENTS LLC,"PO BOX 471353, FORT WORTH TX, 76147",113  HOUSTON ST,FORT WORTH,,226000,C2C,Commercial
Tarrant,310,LUSKEY BROTHERS INVESTMENTS LLC,"PO BOX 471353, FORT WORTH TX, 76147",113  HOUSTON ST,FORT WORTH,,226000,C2C,Commercial
Tarrant,337,GILL EDWIN D,"PO BOX 1741, COLLEYVILLE TX, 76034",110  MAIN ST,FORT WORTH,,451000,F1,Commercial
Tarrant,361,TARRANT COUNTY OF,"100 E WEATHERFORD ST, FORT WORTH TX, 76102",100 E WEATHERFORD ST,FORT WORTH,,14301568,F1,Commercial
Tarrant,396,TARRANT COUNTY COLLEGE DIST,"300 TRINITY CAMPUS CIR, FORT WORTH TX, 76102",222 E BELKNAP ST,FORT WORTH,,19185892,F1,Commercial
Tarrant,418,TARRANT COUNTY COLLEGE DIST,"300 TRINITY CAMPUS CIR, FORT WORTH TX, 76102",205 E BELKNAP ST,FORT WORTH,,225000,C1C,Commercial
Tarrant,450,TARRANT COUNTY COLLEGE DIST,"300 TRINITY CAMPUS CIR, FORT WORTH TX, 76102",205 E BELKNAP ST,FORT WORTH,,900000,C1C,Commercial
Tarrant,469,TARRANT COUNTY,"100 E WEATHERFORD ST, FORT WORTH TX, 76196",100 N CALHOUN ST,FORT WORTH,,836500,F1,Commercial
Tarrant,477,TARRANT COUNTY,"100 E WEATHERFORD ST, FORT WORTH TX, 76196",100 N CALHOUN ST,FORT WORTH,,816250,F1,Commercial
Tarrant,485,TARRANT COUNTY,"100 E WEATHERFORD ST, FORT WORTH TX, 76196",100  CALHOUN ST,FORT WORTH,,53499112,F1,Commercial
Tarrant,507,TARRANT COUNTY,"100 E WEATHERFORD ST, FORT WORTH TX, 76196",100 N CALHOUN ST,FORT WORTH,,543530,F1,Commercial
Tarrant,590,TARRANT COUNTY,"100 E WEATHERFORD ST, FORT WORTH TX, 76196",400 E BELKNAP ST,FORT WORTH,,4221041,C1C,Commercial
Tarrant,604,GIEB MARY,"514 E BELKNAP ST STE 200, FORT WORTH TX, 76102",514 E BELKNAP ST,FORT WORTH,,301000,F1,Commercial
Tarrant,612,GIEB MARY,"514 E BELKNAP ST STE 200, FORT WORTH TX, 76102",510 E BELKNAP ST,FORT WORTH,,301000,F1,Commercial
Tarrant,620,FORWARD FT WORTH RIVER PROJ,"PO BOX 4491, FORT WORTH TX, 76164",504 E BELKNAP ST,FORT WORTH,,301000,F1,Commercial
Tarrant,639,FORWARD FT WORTH RIVER PROJ,"PO BOX 4491, FORT WORTH TX, 76164",500 E BELKNAP ST,FORT WORTH,,301017,F1,Commercial
Tarrant,647,CABELLO FAMILY TRUST,"511 E WEATHERFORD ST, FORT WORTH TX, 76102",501 E WEATHERFORD ST,FORT WORTH,,301000,AC,Commercial
Tarrant,655,CABELLO FAMILY TRUST,"511 E WEATHERFORD ST, FORT WORTH TX, 76102",507 E WEATHERFORD ST,FORT WORTH,,301000,AC,Commercial
Tarrant,663,CABELLO FAMILY TRUST,"511 E WEATHERFORD ST, FORT WORTH TX, 76102",511 E WEATHERFORD ST,FORT WORTH,,332640,F1,Commercial
Tarrant,671,CABELLO FAMILY TRUST,"511 E WEATHERFORD ST, FORT WORTH TX, 76102",515 E WEATHERFORD ST,FORT WORTH,,453023,F1,Commercial
Tarrant,698,SREP-OCPFWTX LLC and SREP-TCPFWTX LLC,"5210 MCKINNEY AVE, DALLAS TX, 75205",321 W BELKNAP ST,FORT WORTH,,1488000,F1,Commercial
Tarrant,892,TARRANT COUNTY OF,"100 E WEATHERFORD ST, FORT WORTH TX, 76102",600 W WEATHERFORD ST,FORT WORTH,,60014703,F1,Commercial
Tarrant,1015,FORT WORTH CITY OF,"200 TEXAS ST, FT WORTH TX, 76102",601 E WEATHERFORD ST,FORT WORTH,,2480625,F1,Commercial
Tarrant,1244,PECAN ST CONDO UNIT OWNERS ASC,"PO BOX 650255, DALLAS TX, 75265",615 E 1ST ST,FORT WORTH,,4260,C1C,Commercial
Tarrant,1252,J L & GWINDA BURNS GAINES,"PO BOX 8704, FORT WORTH TX, 76124",617 E 1ST ST,FORT WORTH,,153100,AC,Commercial
Tarrant,1287,HISTORIC ALLEN AME CHURCH,"PO BOX 71, FORT WORTH TX, 76101",709 E 1ST ST,FORT WORTH,,1185339,F1,Commercial
Tarrant,1295,HISTORIC ALLEN AME CHURCH,"PO BOX 71, FORT WORTH TX, 76101",708 E WEATHERFORD ST,FORT WORTH,,150000,F1,Commercial
