zip,city,state,county,lat,lng,type
01001,Agawam,MA,Hampden County,42.0702,-72.6227,STANDARD
01002,Amherst,MA,Hampshire County,42.3671,-72.4646,STANDARD
01003,Amherst,MA,Hampshire County,42.3919,-72.5248,STANDARD
01005,Barre,MA,Worcester County,42.4097,-72.1084,STANDARD
01007,Belchertown,MA,Hampshire County,42.2751,-72.411,STANDARD
01008,Blandford,MA,Hampden County,42.1829,-72.9361,STANDARD
01010,Brimfield,MA,Hampden County,42.1165,-72.1885,STANDARD
01011,Chester,MA,Hampden County,42.2794,-72.9888,STANDARD
01012,Chesterfield,MA,Hampshire County,42.3923,-72.8256,STANDARD
01013,Chicopee,MA,Hampden County,42.1487,-72.6079,STANDARD
01020,Chicopee,MA,Hampden County,42.1764,-72.5761,STANDARD
01022,Chicopee,MA,Hampden County,42.1934,-72.5544,STANDARD
01026,Cummington,MA,Hampshire County,42.4633,-72.9202,STANDARD
01027,Easthampton,MA,Hampshire County,42.2668,-72.669,STANDARD
01028,East Longmeadow,MA,Hampden County,42.0672,-72.5056,STANDARD
01030,Feeding Hills,MA,Hampden County,42.0718,-72.6751,STANDARD
01031,Gilbertville,MA,Worcester County,42.3322,-72.1986,STANDARD
01032,Goshen,MA,Hampshire County,42.4404,-72.7995,STANDARD
01033,Granby,MA,Hampshire County,42.2557,-72.52,STANDARD
01034,Granville,MA,Hampden County,42.1127,-72.952,STANDARD
01035,Hadley,MA,Hampshire County,42.3606,-72.5715,STANDARD
01036,Hampden,MA,Hampden County,42.0648,-72.4318,STANDARD
01038,Hatfield,MA,Hampshire County,42.3844,-72.6167,STANDARD
01039,Haydenville,MA,Hampshire County,42.3818,-72.7032,STANDARD
01040,Holyoke,MA,Hampden County,42.202,-72.6262,STANDARD
01050,Huntington,MA,Hampshire County,42.2653,-72.8733,STANDARD
01053,Leeds,MA,Hampshire County,42.3543,-72.7034,STANDARD
01054,Leverett,MA,Franklin County,42.4682,-72.4993,STANDARD
01056,Ludlow,MA,Hampden County,42.1728,-72.471,STANDARD
01057,Monson,MA,Hampden County,42.101,-72.3196,STANDARD
01060,Northampton,MA,Hampshire County,42.3223,-72.6313,STANDARD
01062,Florence,MA,Hampshire County,42.3219,-72.6928,STANDARD
01068,Oakham,MA,Worcester County,42.348,-72.0513,STANDARD
01069,Palmer,MA,Hampden County,42.1762,-72.3288,STANDARD
01070,Plainfield,MA,Hampshire County,42.5144,-72.9183,STANDARD
01071,Russell,MA,Hampden County,42.1471,-72.8403,STANDARD
01072,Shutesbury,MA,Franklin County,42.482,-72.4213,STANDARD
01073,Southampton,MA,Hampshire County,42.2247,-72.7194,STANDARD
01075,South Hadley,MA,Hampshire County,42.2375,-72.5811,STANDARD
01077,Southwick,MA,Hampden County,42.0511,-72.7706,STANDARD
01080,Three Rivers,MA,Hampden County,42.1819,-72.3624,STANDARD
01081,Wales,MA,Hampden County,42.0627,-72.2046,STANDARD
01082,Ware,MA,Hampshire County,42.2618,-72.2583,STANDARD
01084,West Chesterfield,MA,Hampshire County,42.3903,-72.8709,STANDARD
01085,Westfield,MA,Hampden County,42.1251,-72.7495,STANDARD
01088,West Hatfield,MA,Hampshire County,42.3906,-72.6469,STANDARD
01089,West Springfield,MA,Hampden County,42.1151,-72.6411,STANDARD
01095,Wilbraham,MA,Hampden County,42.1245,-72.4464,STANDARD
01096,Williamsburg,MA,Hampshire County,42.4085,-72.778,STANDARD
01098,Worthington,MA,Hampshire County,42.3902,-72.9472,STANDARD
01103,Springfield,MA,Hampden County,42.1029,-72.5887,STANDARD
01104,Springfield,MA,Hampden County,42.1288,-72.5778,STANDARD
01105,Springfield,MA,Hampden County,42.0999,-72.5783,STANDARD
01106,Longmeadow,MA,Hampden County,42.0507,-72.5676,STANDARD
01107,Springfield,MA,Hampden County,42.1179,-72.6065,STANDARD
01108,Springfield,MA,Hampden County,42.0853,-72.5584,STANDARD
01109,Springfield,MA,Hampden County,42.1145,-72.5543,STANDARD
01118,Springfield,MA,Hampden County,42.0929,-72.5274,STANDARD
01119,Springfield,MA,Hampden County,42.1247,-72.5121,STANDARD
01128,Springfield,MA,Hampden County,42.0944,-72.4889,STANDARD
01129,Springfield,MA,Hampden County,42.1223,-72.4876,STANDARD
01144,Springfield,MA,Hampden County,42.1018,-72.5915,STANDARD
01151,Indian Orchard,MA,Hampden County,42.1532,-72.505,STANDARD
01152,Springfield,MA,Hampden County,42.1707,-72.6048,STANDARD
01201,Pittsfield,MA,Berkshire County,42.4531,-73.2471,STANDARD
01220,Adams,MA,Berkshire County,42.6223,-73.1172,STANDARD
01222,Ashley Falls,MA,Berkshire County,42.0596,-73.3202,STANDARD
01223,Becket,MA,Berkshire County,42.3594,-73.1203,STANDARD
